gene, ct.1,ct.2,ct.3,ct.4,kd.1,kd.2,kd.3
FBgn0034253,239,248,584,311,239,277,354
FBgn0034255,239,339,1008,474,312,386,927
FBgn0034258,7404,8762,14905,11025,8421,9367,10984
FBgn0034259,485,630,1130,990,764,925,1281
FBgn0034261,182,210,408,250,241,250,407
FBgn0034265,155,219,401,287,201,211,355
FBgn0034269,579,678,1280,984,609,707,949
FBgn0034270,72,110,179,175,120,147,214
FBgn0034271,293,325,709,528,356,400,682
FBgn0034277,3197,4032,8516,5639,4329,4665,7593
FBgn0034282,1352,1533,4171,2623,1613,1861,4456
FBgn0034299,116,154,406,260,139,194,351
FBgn0034300,485,507,1346,827,579,604,1001
FBgn0034304,308,364,661,452,397,372,618
FBgn0034307,121,159,348,231,162,178,265
FBgn0034308,622,577,1095,599,572,661,695
FBgn0034310,529,626,1072,975,674,662,951
FBgn0034312,269,341,671,408,347,438,646
FBgn0034313,614,629,1177,837,791,847,1039
FBgn0034314,63,73,155,110,51,57,126
FBgn0034315,724,891,1800,1151,875,1041,1411
FBgn0034345,917,1124,2834,1689,1059,1200,2358
FBgn0034346,752,825,1546,1421,849,888,1395
FBgn0034351,145,150,379,211,193,225,273
FBgn0034354,165,258,394,226,388,487,632
FBgn0034360,49,74,101,109,49,72,106
FBgn0034361,151,188,255,191,192,260,221
FBgn0034362,252,349,655,535,394,444,635
FBgn0034365,271,298,595,432,204,231,431
FBgn0034366,132,143,304,288,187,214,372
FBgn0034367,440,540,884,745,515,606,783
FBgn0034368,788,1003,2049,1508,939,1033,1719
FBgn0034371,512,622,886,853,568,604,735
FBgn0034379,83,107,231,130,115,144,176
FBgn0034380,136,154,281,213,180,210,276
FBgn0034389,125,103,298,123,28,36,57
FBgn0034391,29,22,56,21,82,88,115
FBgn0034392,777,984,1646,1362,859,931,1317
FBgn0034396,243,265,442,228,240,271,258
FBgn0034397,118,88,176,48,76,84,115
FBgn0034398,3524,4738,8270,5995,3151,3620,5964
FBgn0034399,354,533,855,869,570,602,1207
FBgn0034400,4700,4587,10451,7805,3677,3884,6007
FBgn0034401,1762,1815,3619,2964,2018,2188,3052
FBgn0034402,57,80,185,115,68,76,117
FBgn0034403,26,45,82,36,58,77,138
FBgn0034405,1148,1448,2797,1950,2132,2387,3885
FBgn0034408,113,104,222,142,177,235,204
FBgn0034410,375,360,762,487,442,488,726
FBgn0034411,98,115,247,189,150,148,205
FBgn0034417,146,182,306,164,120,133,178
FBgn0034418,640,698,1353,811,869,997,1364
FBgn0034419,332,385,725,572,359,373,608
FBgn0034420,3060,3249,5507,3991,3116,3349,3808
FBgn0034422,104,155,243,233,130,154,199
FBgn0034425,248,270,444,382,286,329,393
FBgn0034430,216,304,554,481,312,374,664
FBgn0034432,997,1136,2361,1666,997,1085,1630
FBgn0034433,239,292,577,493,285,341,523
FBgn0034434,130,158,261,163,9,16,21
FBgn0034436,996,1206,2490,1731,1401,1475,2417
FBgn0034438,23,28,60,36,101,88,184
FBgn0034442,39,42,102,50,43,33,79
FBgn0034443,122,201,340,295,145,124,464
FBgn0034447,729,826,1597,1322,690,792,1151
FBgn0034451,377,457,1115,699,486,588,1004
FBgn0034452,32,24,63,58,41,45,71
FBgn0034455,311,346,669,433,314,342,492
FBgn0034476,161,161,306,129,78,80,133
FBgn0034488,806,897,1357,850,914,1080,990
FBgn0034491,874,929,1801,1356,831,954,1261
FBgn0034493,194,317,534,508,246,237,475
FBgn0034494,2126,2255,3901,4270,1971,2161,3367
FBgn0034495,137,154,243,217,167,162,224
FBgn0034496,331,378,715,540,387,437,612
FBgn0034498,755,862,1379,1157,914,948,1184
FBgn0034500,153,219,336,295,201,214,317
FBgn0034501,2062,2287,3769,3230,1707,1896,2386
FBgn0034503,178,249,397,256,194,263,346
FBgn0034504,1105,1101,1805,1262,1244,1168,1576
FBgn0034521,346,432,708,536,505,499,560
FBgn0034523,155,201,374,343,252,270,492
FBgn0034527,280,330,694,414,365,438,462
FBgn0034528,288,315,988,366,257,291,771
FBgn0034529,176,176,465,335,245,223,490
FBgn0034530,59,90,139,90,63,58,82
FBgn0034534,406,552,942,582,437,496,730
FBgn0034535,94,101,159,137,101,140,153
FBgn0034537,324,432,934,454,490,565,618
FBgn0034542,374,424,745,645,428,508,684
FBgn0034543,334,438,805,550,415,444,635
FBgn0034564,165,215,480,322,287,333,505
FBgn0034569,248,265,588,428,347,408,561
FBgn0034570,2761,2508,5694,2453,2405,2664,3412
FBgn0034572,375,447,890,573,418,451,696
FBgn0034573,795,910,1417,1084,819,949,1027
FBgn0034576,562,752,1227,934,803,810,1221
FBgn0034577,1500,1759,3545,2448,1617,1882,2393
FBgn0034578,17,30,51,42,29,41,57
FBgn0034579,55,78,165,121,106,117,181
FBgn0034583,1338,1580,2447,1606,1233,1287,1490
FBgn0034585,399,456,907,549,451,478,558
FBgn0034590,1282,1272,2228,1328,1173,1362,1581
FBgn0034598,1610,1789,3401,1831,1854,1940,2414
FBgn0034599,165,200,365,259,188,223,224
FBgn0034603,399,337,835,420,501,582,875
FBgn0034611,795,966,1475,1278,1027,1147,1366
FBgn0034614,158,243,549,409,204,233,448
FBgn0034617,126,126,333,185,204,190,330
FBgn0034618,860,1050,1862,1371,975,1051,1426
FBgn0034626,289,323,640,487,287,334,402
FBgn0034627,67,66,112,97,63,86,112
FBgn0034628,369,495,820,659,439,473,813
FBgn0034629,39,55,85,83,47,62,69
FBgn0034631,200,239,503,328,216,220,426
FBgn0034634,46,69,143,68,66,76,93
FBgn0034638,1346,1748,3060,2686,879,1053,1399
FBgn0034641,1298,1449,2759,2157,1484,1555,2151
FBgn0034643,989,1077,2107,1224,978,970,1311
FBgn0034644,1019,1112,2244,1339,916,1143,1329
FBgn0034645,487,658,1100,755,704,784,812
FBgn0034646,487,560,1221,763,637,674,792
FBgn0034650,148,209,324,207,209,216,255
FBgn0034654,1939,2535,4466,2818,2132,2646,2960
FBgn0034657,596,597,1102,906,844,795,1036
FBgn0034674,645,742,1442,1120,711,749,1133
FBgn0034684,34,34,59,41,23,40,56
FBgn0034688,195,269,460,358,218,191,325
FBgn0034689,208,277,502,347,259,274,444
FBgn0034691,1554,1616,3171,2092,1619,1889,2092
FBgn0034694,297,406,746,461,228,254,417
FBgn0034697,755,856,1619,1233,875,898,1194
FBgn0034703,109,138,317,229,108,125,287
FBgn0034704,182,257,388,304,274,254,360
FBgn0034705,97,139,202,201,135,121,231
FBgn0034707,260,317,563,404,307,411,498
FBgn0034708,1291,1405,2652,2163,1577,1641,2556
FBgn0034709,822,1005,1775,770,829,837,996
FBgn0034718,211,265,498,156,592,659,916
FBgn0034722,583,716,1453,897,634,671,1155
FBgn0034726,99,122,455,200,95,122,231
FBgn0034727,295,380,634,479,386,402,489
FBgn0034728,1306,1312,3363,1849,1204,1322,2838
FBgn0034729,31,49,108,68,49,45,110
FBgn0034733,25,27,54,21,28,49,53
FBgn0034734,759,803,1781,1512,831,805,1362
FBgn0034735,418,519,908,584,426,532,642
FBgn0034736,285,267,539,303,26,29,33
FBgn0034741,18,21,41,35,27,38,35
FBgn0034742,554,526,1258,701,527,579,1045
FBgn0034743,11302,17168,23623,22398,14900,15068,24246
FBgn0034744,621,843,1440,919,679,795,907
FBgn0034745,39,35,79,51,32,28,51
FBgn0034748,200,276,515,329,257,290,419
FBgn0034750,412,556,847,593,625,680,752
FBgn0034753,4725,6408,9108,6606,7609,8490,9700
FBgn0034756,34,42,69,39,39,51,70
FBgn0034758,40,38,69,28,31,33,37
FBgn0034761,720,1037,2320,1261,1001,1134,1717
FBgn0034763,284,349,761,455,318,348,527
FBgn0034786,421,466,882,765,415,412,771
FBgn0034791,258,295,815,426,343,351,545
FBgn0034792,1236,1478,2692,1962,1659,1752,2244
FBgn0034793,254,372,572,449,474,604,706
FBgn0034794,60,105,208,153,99,130,183
FBgn0034797,68,57,181,49,94,101,128
FBgn0034800,56,76,150,81,56,74,85
FBgn0034802,4152,4738,11821,4959,5513,5920,9004
FBgn0034803,157,213,421,264,173,191,278
FBgn0034804,30,41,62,86,14,17,22
FBgn0034814,164,221,343,281,208,228,280
FBgn0034816,27,29,51,46,51,54,54
FBgn0034817,375,431,698,463,423,461,489
FBgn0034849,190,231,252,321,279,339,325
FBgn0034853,476,508,1106,727,473,515,790
FBgn0034854,1639,1686,3651,2194,1735,1941,2821
FBgn0034856,39,35,64,74,33,53,65
FBgn0034858,960,1072,1864,1219,1332,1410,1355
FBgn0034859,335,392,701,602,544,518,689
FBgn0034876,421,530,962,509,579,569,662
FBgn0034877,861,1010,1676,1287,1262,1233,1749
FBgn0034878,956,1041,1703,1083,1102,1212,1310
FBgn0034879,326,433,792,496,463,522,561
FBgn0034885,75,58,92,83,205,238,267
FBgn0034886,5075,4984,10160,6484,4390,4650,5776
FBgn0034887,28,36,42,34,36,39,36
FBgn0034893,119,155,307,214,157,155,212
FBgn0034894,431,399,878,616,303,381,564
FBgn0034897,965,1026,2070,951,270,257,446
FBgn0034902,219,274,462,369,259,289,555
FBgn0034908,293,401,649,422,360,373,463
FBgn0034909,122,151,255,146,154,170,172
FBgn0034913,365,484,893,567,466,513,744
FBgn0034914,1873,2175,4564,2647,2759,3132,4018
FBgn0034915,726,809,1424,892,889,971,1027
FBgn0034918,124,143,333,202,154,184,250
FBgn0034919,77,128,266,215,140,129,186
FBgn0034921,278,311,526,387,290,368,365
FBgn0034923,238,295,638,360,311,395,470
FBgn0034925,188,287,466,365,261,286,355
FBgn0034933,162,189,483,335,140,187,335
FBgn0034936,466,619,971,691,638,755,834
FBgn0034938,122,159,276,209,200,227,291
FBgn0034939,312,398,866,598,407,465,620
FBgn0034940,142,197,361,230,208,240,306
FBgn0034945,76,109,262,169,105,103,240
FBgn0034946,423,473,1032,592,572,677,680
FBgn0034948,697,920,1545,1391,897,994,1556
FBgn0034950,51,55,108,50,96,103,176
FBgn0034951,193,219,581,370,190,210,411
FBgn0034956,26,31,45,45,32,44,56
FBgn0034958,576,578,1553,1010,619,674,1278
FBgn0034959,206,224,479,329,266,317,391
FBgn0034961,141,144,352,199,168,172,283
FBgn0034962,399,474,1048,705,520,601,981
FBgn0034963,64,101,239,210,118,130,219
FBgn0034964,1426,1528,3131,2360,1540,1537,2157
FBgn0034965,45,33,125,99,56,46,144
FBgn0034966,38,44,72,61,46,45,84
FBgn0034967,5552,8228,20745,14464,7145,7913,17634
FBgn0034968,16169,22783,41131,22800,18255,21213,26835
FBgn0034970,921,1035,2156,1308,873,903,1243
FBgn0034971,1217,1508,2845,2020,1440,1602,2269
FBgn0034975,1447,1349,3350,2047,1535,1462,2437
FBgn0034976,357,302,763,422,330,368,558
FBgn0034982,469,594,910,648,593,632,773
FBgn0034985,246,274,436,258,260,244,239
FBgn0034986,204,240,452,325,257,263,387
FBgn0034987,969,919,2015,1348,1019,1056,1610
FBgn0034988,143,169,334,220,181,227,239
FBgn0034989,1042,1125,2279,1467,1150,1195,1737
FBgn0034997,3212,3587,6828,4890,4564,4753,6514
FBgn0035001,6390,6618,14374,8604,5419,5453,8415
FBgn0035002,195,284,570,381,276,319,430
FBgn0035016,1112,1075,3138,1523,986,1043,2271
FBgn0035020,228,250,661,315,162,167,295
FBgn0035021,195,216,490,267,240,242,371
FBgn0035023,780,698,2366,1323,632,668,1561
FBgn0035024,750,859,1757,1075,832,1002,1316
FBgn0035025,268,304,709,447,321,330,627
FBgn0035026,365,363,852,577,409,431,665
FBgn0035027,283,302,663,440,315,344,504
FBgn0035028,250,395,689,511,313,376,589
FBgn0035032,858,1255,2827,1641,1264,1131,1967
FBgn0035033,391,423,821,399,402,418,685
FBgn0035035,265,331,609,441,315,403,412
FBgn0035036,175,202,446,254,238,229,397
FBgn0035039,216,242,496,329,292,267,444
FBgn0035044,63,110,204,147,123,106,229
FBgn0035046,257,398,744,551,413,415,606
FBgn0035047,160,162,339,244,194,203,288
FBgn0035049,1677,1526,3382,3265,1976,2148,3008
FBgn0035059,202,224,508,267,232,269,319
FBgn0035060,1754,1902,3696,2594,1979,2099,2763
FBgn0035063,164,163,397,222,173,207,242
FBgn0035064,180,224,443,301,226,240,349
FBgn0035065,173,263,446,364,238,220,301
FBgn0035073,285,308,672,498,427,427,699
FBgn0035082,128,200,450,250,198,183,376
FBgn0035083,1550,2277,3644,2777,1466,1849,2555
FBgn0035084,115,113,179,158,64,74,85
FBgn0035085,636,779,1215,963,130,148,175
FBgn0035087,2268,2455,7111,3748,2683,2897,5238
FBgn0035088,312,442,1009,594,420,461,799
FBgn0035091,198,275,626,433,370,403,741
FBgn0035099,524,592,1135,902,630,594,1250
FBgn0035101,878,945,2075,1204,1065,1255,1673
FBgn0035102,339,401,787,499,439,523,675
FBgn0035106,2356,2152,5440,3089,2125,2099,3888
FBgn0035107,559,727,1211,923,732,842,1052
FBgn0035109,80,111,254,175,126,141,302
FBgn0035110,199,284,693,381,302,356,513
FBgn0035111,618,705,1562,1065,733,738,1337
FBgn0035113,53,62,137,67,105,119,150
FBgn0035120,171,252,646,384,309,344,533
FBgn0035121,4428,4991,9712,7465,5082,5620,8046
FBgn0035122,254,329,501,462,335,311,478
FBgn0035132,1012,1139,2563,1557,880,947,1768
FBgn0035136,821,875,1853,1040,908,1051,1362
FBgn0035137,783,835,1816,1085,747,786,1139
FBgn0035140,127,122,224,149,154,162,156
FBgn0035141,356,404,713,439,371,434,445
FBgn0035142,16197,14218,33807,19924,15370,15088,24441
FBgn0035144,195,173,427,371,198,218,290
FBgn0035145,1383,1497,2879,2038,1594,1696,2194
FBgn0035146,493,539,1351,884,613,674,1127
FBgn0035147,16870,22132,29784,25500,9816,10764,11337
FBgn0035148,509,638,1600,1086,773,935,1625
FBgn0035149,1158,1427,2789,1797,1620,1924,2363
FBgn0035150,1350,1561,3427,2427,2384,2506,4460
FBgn0035151,37,45,130,74,72,76,174
FBgn0035152,137,187,411,212,126,168,299
FBgn0035153,1170,1249,2322,1442,1216,1394,1613
FBgn0035154,54,57,123,86,82,105,161
FBgn0035155,79,104,164,117,109,119,144
FBgn0035158,540,644,1252,749,734,840,1207
FBgn0035159,125,155,356,188,137,189,349
FBgn0035160,72,75,133,89,80,112,115
FBgn0035161,45,54,114,106,34,34,118
FBgn0035162,9985,11283,16963,15971,12013,12589,14928
FBgn0035164,199,274,531,367,300,324,536
FBgn0035165,2183,2716,5641,3371,3198,3754,6001
FBgn0035166,208,240,480,395,272,293,552
FBgn0035167,58,55,81,103,92,127,136
FBgn0035169,235,323,507,476,331,385,608
FBgn0035173,312,283,613,355,462,501,774
FBgn0035181,854,1111,1574,1351,1109,1069,1191
FBgn0035189,48,36,86,29,398,335,429
FBgn0035194,182,214,372,300,170,197,275
FBgn0035195,1238,1457,2246,1513,1455,1732,1864
FBgn0035203,451,563,865,811,752,899,1033
FBgn0035204,361,439,897,739,368,380,616
FBgn0035205,1818,1992,4156,2750,2066,2199,3218
FBgn0035206,465,587,1320,767,491,564,1010
FBgn0035207,1752,2175,4432,3098,2297,2408,3872
FBgn0035209,166,269,425,394,267,305,364
FBgn0035210,166,229,399,308,270,330,415
FBgn0035211,66,82,129,107,87,124,140
FBgn0035213,694,784,1834,1138,659,723,1343
FBgn0035227,1186,1247,2500,1544,1176,1291,1646
FBgn0035228,1308,1497,2422,2038,1449,1553,1847
FBgn0035229,933,1034,1986,1255,1126,1130,1569
FBgn0035231,41,46,84,65,22,29,50
FBgn0035232,1313,1479,2738,2024,1058,1164,1552
FBgn0035233,116,157,311,225,138,139,247
FBgn0035235,450,496,1168,640,420,506,813
FBgn0035236,1368,1570,3256,2861,1451,1440,2481
FBgn0035237,773,737,1548,691,920,1025,1302
FBgn0035238,487,569,1035,588,557,695,826
FBgn0035241,43,37,80,29,24,25,41
FBgn0035243,187,252,575,298,254,318,436
FBgn0035244,1103,1412,1964,1418,1198,1308,1504
FBgn0035246,39,41,88,31,56,39,70
FBgn0035247,372,529,984,625,411,447,648
FBgn0035248,39,43,117,52,37,52,72
FBgn0035249,174,204,402,212,174,205,281
FBgn0035251,838,1021,2184,1157,931,1067,1425
FBgn0035252,327,465,1001,649,488,501,687
FBgn0035253,2579,2713,5374,1771,2759,3072,3551
FBgn0035254,119,144,275,154,132,155,185
FBgn0035262,308,301,524,246,202,203,328
FBgn0035263,27,31,59,18,27,15,33
FBgn0035266,158,221,310,274,451,511,505
FBgn0035268,553,611,1290,812,635,698,860
FBgn0035270,370,418,894,672,436,414,642
FBgn0035271,49,71,195,102,82,97,156
FBgn0035272,140,157,370,259,171,176,285
FBgn0035283,219,262,616,328,244,243,378
FBgn0035285,490,587,1420,893,779,799,1549
FBgn0035286,34,29,59,41,26,43,46
FBgn0035287,39,46,104,90,32,32,54
FBgn0035294,821,941,1622,1041,882,1022,1073
FBgn0035295,278,359,783,510,449,492,789
FBgn0035298,418,526,913,774,577,594,877
FBgn0035309,120,122,276,261,106,128,236
FBgn0035312,173,205,315,239,129,132,190
FBgn0035318,329,418,756,566,465,505,597
FBgn0035321,762,1020,1803,1768,912,869,1772
FBgn0035323,154,201,349,194,206,235,309
FBgn0035333,1457,1614,2679,2441,1605,1726,2503
FBgn0035334,372,503,928,499,441,494,599
FBgn0035335,120,189,388,320,173,206,388
FBgn0035336,246,290,588,349,288,269,532
FBgn0035337,126,174,462,216,164,195,309
FBgn0035338,718,706,1720,728,557,596,937
FBgn0035344,78,76,163,110,30,28,46
FBgn0035346,517,515,1080,736,696,721,1141
FBgn0035347,487,479,1004,791,413,417,678
FBgn0035348,371,534,969,774,410,519,625
FBgn0035355,47,58,179,147,70,64,178
FBgn0035356,44,49,152,139,74,84,147
FBgn0035357,30,41,194,90,46,35,163
FBgn0035358,34,36,59,30,40,41,56
FBgn0035359,59,51,73,38,44,50,60
FBgn0035370,1699,1923,4159,2426,1947,2409,3128
FBgn0035371,1511,1560,3116,2163,1629,1804,2447
FBgn0035372,535,759,1402,811,682,790,992
FBgn0035374,372,515,715,624,533,571,770
FBgn0035375,691,784,1263,1006,771,808,1073
FBgn0035383,451,536,981,669,502,580,749
FBgn0035388,1006,1131,2167,1296,1032,1158,1640
FBgn0035390,607,727,1533,1129,1019,1030,1676
FBgn0035392,38,54,77,52,58,61,73
FBgn0035393,138,258,478,277,212,304,412
FBgn0035397,2320,2437,5602,2688,2370,2828,4017
FBgn0035400,982,1106,2329,1825,1131,1144,1955
FBgn0035401,630,820,1177,1012,697,850,1000
FBgn0035402,474,563,962,780,656,682,941
FBgn0035404,598,855,1156,1169,892,901,1188
FBgn0035405,326,407,674,551,451,520,611
FBgn0035407,84,72,231,145,94,74,194
FBgn0035410,210,195,436,386,322,352,454
FBgn0035411,847,928,2057,1320,1044,1034,1880
FBgn0035414,102,111,326,175,119,126,337
FBgn0035415,123,161,391,276,124,145,396
FBgn0035416,1283,1483,2912,2184,1525,1596,2345
FBgn0035420,1340,1351,3097,2576,1547,1575,2761
FBgn0035421,197,221,406,284,268,278,390
FBgn0035422,16805,22894,40308,20804,18519,20601,28976
FBgn0035423,1238,1706,3591,2446,1687,1842,3237
FBgn0035424,4629,3798,10096,5984,4668,4692,7956
FBgn0035425,906,1018,1625,1313,903,1018,1360
FBgn0035432,2665,3006,4806,4654,2869,3353,4080
FBgn0035435,68,63,132,139,66,81,114
FBgn0035437,1920,2186,3734,2656,2152,2326,2662
FBgn0035438,2192,2822,5721,3669,3122,3719,5156
FBgn0035439,334,383,803,290,388,524,588
FBgn0035440,646,787,1720,1393,797,880,1758
FBgn0035443,90,102,229,164,126,124,230
FBgn0035444,373,396,873,625,384,399,767
FBgn0035445,48,64,142,40,69,62,117
FBgn0035449,453,560,1000,881,577,627,888
FBgn0035452,258,334,706,555,361,387,708
FBgn0035461,25,25,88,59,42,40,86
FBgn0035462,112,118,307,195,138,148,312
FBgn0035464,692,769,1412,1208,895,937,1482
FBgn0035469,139,147,433,261,153,177,346
FBgn0035470,66,104,210,159,86,101,153
FBgn0035471,759,938,1449,1156,1049,1096,1386
FBgn0035473,587,746,1511,1019,734,738,1133
FBgn0035475,57,67,167,82,64,91,105
FBgn0035477,104,124,206,116,118,122,148
FBgn0035480,117,154,306,202,85,157,242
FBgn0035482,143,143,316,197,149,158,303
FBgn0035483,90,127,198,173,150,156,190
FBgn0035488,364,428,938,511,360,402,656
FBgn0035496,161,217,513,234,120,147,245
FBgn0035497,382,307,852,412,335,361,591
FBgn0035498,676,707,1531,1066,716,797,1328
FBgn0035499,4777,5476,13226,5684,5797,6329,10242
FBgn0035515,132,159,293,234,202,228,338
FBgn0035517,177,240,293,363,284,293,471
FBgn0035518,229,267,496,454,308,357,481
FBgn0035519,339,484,925,698,463,533,725
FBgn0035520,97,157,380,204,164,191,263
FBgn0035523,10,24,62,19,68,39,120
FBgn0035524,346,467,1031,591,344,430,670
FBgn0035526,882,1119,2255,1570,960,1139,1578
FBgn0035528,686,909,2710,1366,764,905,1803
FBgn0035529,116,188,306,221,144,148,216
FBgn0035532,125,145,342,210,131,188,278
FBgn0035533,2663,2906,6765,4974,2683,2925,4905
FBgn0035534,53,73,206,70,74,95,120
FBgn0035540,169,185,385,217,126,168,247
FBgn0035541,360,362,1182,489,295,321,703
FBgn0035542,588,551,1313,295,274,335,455
FBgn0035558,3617,4055,7739,7047,3540,3749,6272
FBgn0035586,467,552,983,636,517,574,686
FBgn0035588,118,214,250,254,209,203,303
FBgn0035589,246,322,598,312,261,283,341
FBgn0035590,105,148,229,131,188,200,226
FBgn0035591,161,198,374,260,209,221,272
FBgn0035592,143,194,359,352,191,252,393
FBgn0035593,273,343,511,337,408,429,426
FBgn0035600,2156,2442,4071,3291,2292,2577,3062
FBgn0035601,1418,1834,3963,3304,1801,2000,4077
FBgn0035603,288,412,693,427,476,524,715
FBgn0035608,2036,2041,4974,3013,2545,2792,6669
FBgn0035617,860,777,2044,1056,789,912,1681
FBgn0035622,1000,1304,2094,2185,1406,1447,2204
FBgn0035623,167,210,381,686,301,329,607
FBgn0035624,57,76,173,115,85,108,140
FBgn0035626,71,93,184,38,75,86,118
FBgn0035627,88,125,295,200,102,143,257
FBgn0035630,2835,3507,6632,4637,3192,3680,4662
FBgn0035631,522,614,1196,1001,659,729,1022
FBgn0035632,204,217,333,286,225,229,245
FBgn0035639,450,561,803,708,457,612,593
FBgn0035640,217,339,712,557,329,347,547
FBgn0035641,169,126,413,230,165,175,457
FBgn0035642,119,139,321,191,135,167,297
FBgn0035644,263,322,587,367,236,270,295
FBgn0035670,32,56,81,56,47,47,60
FBgn0035674,196,222,422,329,198,273,462
FBgn0035675,88,112,210,196,93,92,232
FBgn0035678,81,71,150,127,60,57,108
FBgn0035679,305,427,792,574,357,390,564
FBgn0035688,1368,1454,3732,2109,1402,1628,3328
FBgn0035689,169,224,443,340,257,238,503
FBgn0035690,361,410,745,480,417,454,543
FBgn0035691,27,28,67,55,32,36,59
FBgn0035692,287,365,874,628,400,425,826
FBgn0035702,31,39,125,78,44,41,91
FBgn0035703,102,115,199,186,113,102,217
FBgn0035704,334,422,697,586,371,403,665
FBgn0035707,614,711,1318,954,628,661,1066
FBgn0035708,1011,1046,2251,1779,856,934,1605
FBgn0035713,2053,2026,3596,2345,2265,2552,2500
FBgn0035714,235,300,708,391,338,361,607
FBgn0035715,917,1085,2259,1123,949,1119,1424
FBgn0035719,60,50,127,61,68,87,105
FBgn0035720,4177,4394,8261,4871,4162,4383,6212
FBgn0035721,92,121,294,212,120,111,326
FBgn0035722,67,100,251,134,96,95,151
FBgn0035725,123,194,371,272,179,219,366
FBgn0035726,3101,4023,7182,4736,3904,4237,6315
FBgn0035727,25,24,58,31,83,91,126
FBgn0035751,40,68,99,61,43,55,89
FBgn0035753,12002,15546,25318,15855,14423,14430,16133
FBgn0035754,109,170,251,183,134,162,219
FBgn0035760,37,46,41,54,55,44,79
FBgn0035761,266,334,681,478,563,616,935
FBgn0035762,241,316,631,467,307,310,525
FBgn0035763,929,1125,2178,1553,995,1148,1723
FBgn0035766,1196,1322,2727,1697,1116,1073,1775
FBgn0035767,428,566,941,809,609,663,776
FBgn0035769,597,627,1365,913,563,593,856
FBgn0035770,266,242,442,333,248,235,394
FBgn0035771,2562,2933,5221,3533,2804,3218,3546
FBgn0035772,2513,2896,7823,4697,3328,3821,7601
FBgn0035793,2225,2386,4596,2901,2227,2351,3051
FBgn0035802,85,81,142,34,51,39,72
FBgn0035805,120,172,358,178,168,207,333
FBgn0035807,515,557,967,691,526,570,842
FBgn0035811,513,668,880,772,1131,1239,1452
FBgn0035812,551,556,1170,782,548,637,1151
FBgn0035824,101,117,202,123,104,141,142
FBgn0035825,333,372,546,433,389,474,438
FBgn0035827,135,164,595,292,198,195,463
FBgn0035829,284,389,867,668,436,522,906
FBgn0035830,777,895,2074,926,903,1070,1479
FBgn0035831,101,149,352,258,149,145,264
FBgn0035833,411,427,810,625,454,520,859
FBgn0035838,88,85,237,148,111,103,183
FBgn0035839,31,46,79,52,48,51,62
FBgn0035842,289,252,751,491,304,269,706
FBgn0035844,26,27,63,48,27,26,47
FBgn0035848,221,263,539,401,219,228,416
FBgn0035849,276,361,697,522,372,397,588
FBgn0035850,1011,1182,1849,1403,919,1061,1243
FBgn0035851,204,239,482,396,283,294,526
FBgn0035853,374,510,1245,709,498,676,1127
FBgn0035854,128,153,249,182,144,145,216
FBgn0035866,153,206,407,300,176,199,357
FBgn0035867,554,601,1315,1038,658,714,1241
FBgn0035868,45,62,166,111,56,60,160
FBgn0035871,971,1400,2461,1938,1146,1428,2225
FBgn0035872,2516,2547,4437,2868,2682,2597,3416
FBgn0035876,74,99,237,194,82,101,166
FBgn0035877,227,303,516,267,195,242,333
FBgn0035878,1038,1273,1914,1491,1181,1302,1440
FBgn0035879,1135,1156,2482,1681,923,1026,1437
FBgn0035880,85,99,171,91,98,114,134
FBgn0035888,147,128,208,178,134,140,168
FBgn0035890,119,151,284,211,176,187,297
FBgn0035891,78,72,139,148,144,116,206
FBgn0035892,331,353,832,611,358,389,724
FBgn0035896,175,247,437,434,252,254,499
FBgn0035900,138,162,288,184,158,196,251
FBgn0035901,137,167,399,238,202,211,344
FBgn0035902,31,44,69,61,50,41,80
FBgn0035903,88,91,172,122,56,64,99
FBgn0035904,962,1539,2847,2459,1331,1555,2215
FBgn0035906,516,678,1577,880,583,656,1061
FBgn0035907,45,58,177,85,60,88,123
FBgn0035909,2304,2818,5965,4215,2820,3030,4916
FBgn0035911,221,344,592,376,267,285,430
FBgn0035916,162,188,551,300,188,215,462
FBgn0035918,271,275,492,370,292,353,446
FBgn0035923,383,405,912,553,376,356,712
FBgn0035942,101,106,232,186,123,107,188
FBgn0035944,467,612,1542,922,563,669,1084
FBgn0035945,503,560,1086,737,579,569,890
FBgn0035947,650,848,1636,1120,833,1014,1336
FBgn0035951,366,495,853,577,505,531,744
FBgn0035953,446,511,1040,727,505,528,850
FBgn0035959,364,366,889,624,361,317,782
FBgn0035960,15,34,52,56,33,46,56
FBgn0035964,208,213,399,265,235,272,343
FBgn0035965,33,43,122,87,53,63,115
FBgn0035968,117,160,276,170,297,367,513
FBgn0035975,59,89,186,126,112,120,194
FBgn0035976,173,243,413,297,261,244,397
FBgn0035977,96,105,262,170,95,93,218
FBgn0035978,462,556,1151,866,593,664,1196
FBgn0035980,26,34,89,57,27,33,59
FBgn0035981,279,369,725,452,350,393,537
FBgn0035983,169,207,390,219,180,196,277
FBgn0035986,527,538,1301,807,648,754,1413
FBgn0035987,505,659,1380,863,635,649,1122
FBgn0035989,210,233,602,339,225,240,405
FBgn0035993,259,284,590,370,340,405,444
FBgn0035995,377,369,761,399,460,577,567
FBgn0035996,55,52,131,78,65,55,154
FBgn0035997,621,604,1138,734,580,591,772
FBgn0035998,42,47,85,70,44,65,74
FBgn0035999,66,66,203,97,68,74,167
